序号,提交答卷时间,所用时间,来源,来源详情,来自IP,1.您的性别是:  *,2.您所在的年级是:  *,3.您更加喜欢的颜色系是:  *,4.您平时参加体育锻炼的频率是:  *,5.您每次进行体育锻炼的时间是:  *,6.您每次进行体育锻炼的强度是:  *,7.您偏向的运动环境是:  *,8.请勾选您进行体育锻炼最常所选用的项目:  *,9.您认为影响您参加体育锻炼的因素重要性排序是: [排序题，请将最重要的放置在第一位] *,10.您认为运动类APP应该具有的功能排序（按重要程度）: [排序题，请将最重要的放置在第一位] *,11.您对运动类APP在以下属性方面的重要性程度的看法是: *—GPS运动轨迹记录运动历程,计步/计数获知日常运动量,制定运动计划和运动安排的执行程度,运动知识、视频指导的全面性与专业性程度,计算卡路里消耗,APP运动达人及好友的经验分享,音乐播放愉悦运动心情,使用运动类app的性价比优势（对比健身房等）,运动排行榜或好友间竞赛的激励方式,12.您的运动类 APP 使用经历是:  *,13.您使用运动类 APP 的频率是:  *,14.您每次使用的运动类 APP 时间是:  *,15.您坚持使用运动类 APP 多久了:  *,16.您目前使用的 APP 类型:  *,17.在下列运动类 APP 功能中，您最常使用的是:  *,18.您对运动类APP在以下属性方面的满意程度是: *—GPS运动轨迹记录运动历程,计步/计数获知日常运动量,制定运动计划和运动安排的执行程度,运动知识、视频指导的全面性与专业性程度,计算卡路里消耗,APP运动达人及好友的经验分享,音乐播放愉悦运动心情,使用运动类app的性价比优势（对比健身房等）,运动排行榜或好友间竞赛的激励方式,19.您认为您在运动中通过使用以上最常用的功能可以给您带来什么样的体验:  *,20.您认为您所使用的运动类 APP 能够帮您实现上一题中的体验的程度是:  *,21.您认为在运动中使用运动类 APP 是否提高您锻炼的效果:  *,22.在运动类 APP 的运动指导系列中您经常学习下列哪种?  *,23.通过使用运动类 APP，您认为其在哪里方面需要改进呢?  *
1,2019/6/13 10:19:17,76秒,微信,N/A,223.104.190.63(山东-济南),B.女生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,B.一周1-2次,A.30分钟以内,C.稍微出汗,B.集体健身活动（广场舞、集体骑行等）,A.跑步┋C.羽毛球┋I.跳绳┋J.瑜伽,A.锻炼兴趣→C.场地器材→B.空闲时间,GPS记录运动轨迹→计步/计数→运动计划→视频指导/运动知识→卡路里消耗,重要,重要,重要,重要,重要,重要,重要,重要,重要,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),C.功能不够丰富┋D.记录不够准确┋E.激励机制有待提高┋F.提供知识全面性、科学性欠缺
2,2019/6/13 10:19:38,127秒,微信,N/A,223.104.189.250(山东-济南),B.女生,B.大二,C.中间色系（紫、绿、黑、白、灰等）,B.一周1-2次,A.30分钟以内,B.出汗较多,B.集体健身活动（广场舞、集体骑行等）,C.羽毛球┋H.健美操,A.锻炼兴趣→C.场地器材→F.集体效应→E.媒体宣传→B.空闲时间→D.专业辅导→G.其他,卡路里消耗→运动计划→音乐播放→运动圈互动→运动榜单/好友竞赛→提供课程性价比高→计步/计数→视频指导/运动知识→GPS记录运动轨迹,重要,一般,重要,一般,非常重要,一般,重要,重要,一般,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),F.提供知识全面性、科学性欠缺
3,2019/6/13 10:19:47,114秒,微信,N/A,112.17.247.98(浙江-杭州),A.男生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,C.一周3-4次,B.30分钟—60分钟,A.出汗很多,A.健身房,A.跑步┋B.篮球┋C.羽毛球┋D.兵乓球,A.锻炼兴趣→B.空闲时间→C.场地器材→D.专业辅导→F.集体效应,视频指导/运动知识→运动计划→卡路里消耗→音乐播放→提供课程性价比高,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,非常重要,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),G.其他
4,2019/6/13 10:19:51,139秒,微信,N/A,112.17.247.27(浙江-杭州),B.女生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,A.几乎不,A.30分钟以内,C.稍微出汗,C.私人教练服务,A.跑步┋H.健美操┋I.跳绳┋J.瑜伽,A.锻炼兴趣→D.专业辅导→C.场地器材→B.空闲时间→E.媒体宣传→F.集体效应,视频指导/运动知识→运动计划→卡路里消耗→计步/计数→GPS记录运动轨迹→运动榜单/好友竞赛→音乐播放→运动圈互动→提供课程性价比高,一般,一般,重要,非常重要,重要,一般,重要,一般,一般,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),A.广告太多┋B.界面设计不合理┋C.功能不够丰富┋D.记录不够准确┋E.激励机制有待提高┋F.提供知识全面性、科学性欠缺
5,2019/6/13 10:21:24,123秒,微信,N/A,106.122.180.62(福建-厦门),B.女生,C.大三,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,C.一周3-4次,B.30分钟—60分钟,A.出汗很多,A.健身房,J.瑜伽,B.空闲时间→C.场地器材,卡路里消耗→运动计划→计步/计数,一般,重要,非常重要,非常重要,重要,一般,非常重要,一般,不重要,B.正在使用,A.一周1-2次,A.不足25min,A.不足半年,B.Keep,B.计步/记数,一般,一般,满意,满意,满意,一般,一般,一般,不满意,B.成就感和挑战感(完成运动运动计划，运动圈分享胜利成果等带来的自我成就感),B.部分可以实现,B.中(中等程度),A.运动训练┋C.健身塑型┋E.健康饮食,A.广告太多
6,2019/6/13 10:22:20,138秒,微信,N/A,171.82.133.2(湖北-武汉),B.女生,B.大二,C.中间色系（紫、绿、黑、白、灰等）,B.一周1-2次,B.30分钟—60分钟,B.出汗较多,C.私人教练服务,A.跑步┋H.健美操┋K.游泳,B.空闲时间→C.场地器材→D.专业辅导→A.锻炼兴趣→F.集体效应→E.媒体宣传,运动计划→视频指导/运动知识→GPS记录运动轨迹→计步/计数→卡路里消耗→运动圈互动→音乐播放→运动榜单/好友竞赛→提供课程性价比高,重要,重要,重要,重要,重要,不重要,不重要,一般,不重要,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),E.激励机制有待提高
7,2019/6/13 10:22:33,118秒,微信,N/A,223.104.95.63(贵州-贵阳),A.男生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,C.一周3-4次,B.30分钟—60分钟,A.出汗很多,A.健身房,A.跑步┋其他〖力量训练〗,B.空闲时间→C.场地器材→A.锻炼兴趣,GPS记录运动轨迹→计步/计数→运动计划→视频指导/运动知识→卡路里消耗→音乐播放,非常重要,非常重要,一般,非常重要,非常重要,一般,一般,一般,一般,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),G.其他
8,2019/6/13 10:24:44,130秒,微信,N/A,100.120.34.109(国外-保留),B.女生,B.大二,C.中间色系（紫、绿、黑、白、灰等）,A.几乎不,A.30分钟以内,B.出汗较多,A.健身房,A.跑步┋C.羽毛球,A.锻炼兴趣→B.空闲时间→C.场地器材→D.专业辅导,GPS记录运动轨迹→计步/计数→运动计划→视频指导/运动知识→卡路里消耗→音乐播放→提供课程性价比高,重要,重要,重要,重要,重要,一般,重要,非常重要,重要,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),E.激励机制有待提高
9,2019/6/13 10:24:55,116秒,微信,N/A,60.247.76.72(北京-北京),B.女生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,B.一周1-2次,C.1小时—2小时,C.稍微出汗,A.健身房,A.跑步┋J.瑜伽┋K.游泳,A.锻炼兴趣→B.空闲时间→C.场地器材→F.集体效应→D.专业辅导→E.媒体宣传,卡路里消耗→计步/计数→运动计划→视频指导/运动知识→运动榜单/好友竞赛→音乐播放→提供课程性价比高→运动圈互动,不重要,重要,不重要,不重要,重要,不重要,非常不重要,非常不重要,非常不重要,C.从未使用，有意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
10,2019/6/13 10:28:43,68秒,微信,N/A,117.136.94.10(山东-济南),B.女生,B.大二,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,A.几乎不,A.30分钟以内,D.基本不出汗,A.健身房,A.跑步,A.锻炼兴趣→C.场地器材→F.集体效应,GPS记录运动轨迹→计步/计数→运动计划→视频指导/运动知识→运动榜单/好友竞赛,一般,一般,一般,一般,一般,一般,一般,一般,一般,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),E.激励机制有待提高
11,2019/6/13 10:30:02,40秒,微信,N/A,119.103.234.76(湖北-武汉),B.女生,B.大二,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,B.一周1-2次,B.30分钟—60分钟,C.稍微出汗,B.集体健身活动（广场舞、集体骑行等）,A.跑步┋C.羽毛球┋E.排球┋G.足球,C.场地器材→A.锻炼兴趣→B.空闲时间→D.专业辅导→E.媒体宣传→F.集体效应→G.其他,运动计划→运动圈互动→计步/计数→GPS记录运动轨迹→视频指导/运动知识→卡路里消耗→音乐播放→运动榜单/好友竞赛→提供课程性价比高→其他,一般,一般,不重要,一般,一般,不重要,一般,一般,不重要,C.从未使用，有意愿使用 (请跳至第问卷末尾，提交答卷),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过)
12,2019/6/13 10:31:09,35秒,微信,N/A,223.104.190.11(山东-济南),B.女生,B.大二,B.暖色系（红紫、红、粉红、橘、黄橘、黄、咖啡色等）,D.一周5-6次,C.1小时—2小时,A.出汗很多,A.健身房,A.跑步┋F.网球┋H.健美操┋I.跳绳,B.空闲时间,GPS记录运动轨迹→运动圈互动→音乐播放,重要,重要,不重要,不重要,重要,一般,不重要,不重要,一般,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),B.界面设计不合理
13,2019/6/13 10:36:13,60秒,微信,N/A,49.94.9.157(江苏-南京),B.女生,B.大二,A.冷色系（黄绿、绿、蓝绿、蓝、蓝紫等）,B.一周1-2次,B.30分钟—60分钟,A.出汗很多,B.集体健身活动（广场舞、集体骑行等）,B.篮球┋C.羽毛球┋D.兵乓球,B.空闲时间→A.锻炼兴趣→F.集体效应,卡路里消耗→运动圈互动,一般,不重要,重要,不重要,不重要,一般,不重要,一般,非常不重要,A.曾经使用，现已不用 (请跳至第23题),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),(跳过),C.功能不够丰富
